tweet,time,score
No increase in #radiation levels in #LosAngeles seen by @safecast after the #WoolseyFire in Southern #California burned through part of the Santa Susana Field Laboratory (SSFL) siteThe SSFL site is highly contaminated with radioactive and toxic waste,2018-11-14 23:51:09,
Thank you @kleankanteen for your generous donation to our #CampFire students that are displaced @Rosedale2way @Chico_Unified @BCOEHR #ButteCOE ,2018-11-14 23:51:06,
"Comprehending the 'Wide, Deep' Destruction of the Camp Fire  via @TheTakeaway",2018-11-14 23:50:59,
Camp Fire: Gov. Brown says Trump pledges federal aid in phone call ,2018-11-14 23:50:56,
Perfectly normal if you live on Jupiter. It's gotten worse. #CampFire ,2018-11-14 23:50:55,
@MrHeater @big5since55 @SportsmansW  Can you help? We need propane heaters and camp showers for the elderly and youngin's still out in the cold. It is freezing temps out there right now.  #campfire #campfireparadise ,2018-11-14 23:50:53,
"Due to air quality, all Sacramento cruises have been cancelled for 11/15 &amp; 11/16. We thank all of the brave fire fighters for working tirelessly and are sending our thoughts &amp; sympathy to all the victims and families affected by #CAMPFIRE. To help: ",2018-11-14 23:50:41,
@BCWildfireToday @isthisyourpet  another resource for dogs: Yuba Sutter fairgrounds 442 Franklin Ave Yuba City 530-672-1280. also Butte county fairgrounds in Gridley ,2018-11-14 23:50:25,
"Don't pass all the California expenses on to rest of the nation, IMO. - PG&amp;E could be hurt if liable for Camp Fire @CNN ",2018-11-14 23:50:21,
@SavingL0is @TashaGutierrez1 I CANT BREATH FOR FIRST TIME #campfire,2018-11-14 23:50:11,
MISSING CAT FROM #Magalia on Decatur - MIMI CONTACT @2153DeedleIF YOU KNOW THE WHEREABOUTS OF MIMI.#CampFire #CampFireJamesWoods #CampFirePets @CAFirePets #Chico #ChicoCA ,2018-11-14 23:50:08,
Chillin round the salt lamp like it’s a camp fire,2018-11-14 23:50:06,
"Found some familiar faces at the #CampFire, a strike team from San Francisco. Telling the stories of their work in Paradise on @KCBSRadio this afternoon. @sffdpio ",2018-11-14 23:50:05,
"""A universal truth of late-stage capitalism is that anytime something big happens, someone's gonna try to extract wealth from those suffering from it. Let's see if we can't throw a wrench in those works."" ",2018-11-14 23:50:03,
"Nurse Posts How His Toyota Looks After He Saves Many Lives From Fire, Toyota Responds ",2018-11-14 23:50:02,
Pacific Gas &amp; Electric stock price tumbles ahead of lawsuit by California fire victims - NBC News ,2018-11-14 23:49:52,
"@elonmusk hey elon, paradise really needs your help right now. come on over and rebuild with us! the devastation and loss is unbearable but you could be our saving grace! #prayerforparadise #campfire",2018-11-14 23:49:47,
@GrantNapearshow Do you know of an organization where monies would go to Camp fire Paradise only?,2018-11-14 23:49:37,
Kepi is a comfort animal here in #Paradise to give support to those who are being informed by Chaplain Robert Duvall that a loved one has been lost in the #CampFire #cbcnews ,2018-11-14 23:49:36,
Help those impacted by #wildfires in California: donate to @vcunitedway @LAUnitedWay @unitedwaynorcal at   #HillFire #WoolseyFire #CampFire ,2018-11-14 23:49:34,
"Chico, Paradise, Butte County XC programs!!! We would like to help you, please have your coaches DM me so we can send our support in whatever form would be most helpful! From PrioryXC 🙏🏻😄🏃#XCrunning #teamsunite #CampFire #Crosscountry",2018-11-14 23:49:28,1.0
Northern California Fire Victims Are Suing The Power Company ,2018-11-14 23:49:25,
On-the-ground snapshots from California’s Camp Fire show devastation and bravery  ,2018-11-14 23:49:02,
Capturing looters or feeding chickens. We are committed to serve those in @paradise_ca and beyond who have had their lives turned upside down by the #campfire. ,2018-11-14 23:48:44,
"Damn. The 48 confirmed dead are just bodies they've recovered. There are still the bodies they've observed along the way and the ""missing"" who some witnesses say were impossible to save. This is a catastrophe. #CampFire",2018-11-14 23:48:37,
"Outstanding,regularly updated Google Doc resource for the #CampFire :  ",2018-11-14 23:48:35,
Help this #Campfire family who lost everything.   via @gofundme,2018-11-14 23:48:34,
I could start a camp fire cus I’m ridin with them sticks,2018-11-14 23:48:26,
"""My thoughts and dreams are filled with burned animals. I keep seeing the burned, blind eyes of a raccoon I killed Thursday to end its suffering as the Camp Fire raged. I hear the terrified howls from a singed cat ..."" My god, this story from @RyanSabalow ",2018-11-14 23:48:24,
"3,500 UC Davis students sign up for event to throw rocks at Camp Fire smoke to make it go away.Um...  via @SFGate",2018-11-14 23:48:24,
The air quality in Redwood City is terrible —I think this is the worst it’s been since the #campfire started 😷😷😷 #AirQuality,2018-11-14 23:48:16,0.0
Death Toll Rises in Northern California - Fire Fighter Nation ,2018-11-14 23:48:09,
".@Chevron CEO announces $1M contribution to the @RedCross. “As a California company, we mourn the loss of life and destruction these fires have caused.” ",2018-11-14 23:48:07,
"Another great piece from the @latimes' fire coverage. This, via @haileybranson: ""The Bobcats were supposed to start the playoffs Nov. 9. By then, almost the entire team was homeless."" ",2018-11-14 23:48:03,
'It's going to get worse': Officials fear many more deaths from California wildfires that have already claimed 51 lives - ABC News -  @ABC,2018-11-14 23:48:01,
Evacuated from the #CampFire? Contact your insurer at their Toll Free Phone Number  #Wildfires ,2018-11-14 23:48:01,
World Central Kitchen is providing meals to people suffering from the #CampFire and #WoolseyFire. I just donated. Will you? ,2018-11-14 23:47:56,
"That's not fog but smoke, really bad air engulfing us in Sacramento #campfire ",2018-11-14 23:47:52,
"There are so many amazing non profits out there to support. Please consider adding @ChicoState to your list with our Wildcats Rise Fire Relief Fund, which will support all students, faculty and staff affected by the #CampFire. Together, Wildcats will rise!  ",2018-11-14 23:47:39,
Ya think!?! Trump was right. Trump is always right. #campfire #CaliforniaFires ,2018-11-14 23:47:32,
Wednesday November 14 - Evening Briefing:   Trump Endorses Easing Some Mandatory Sentencing Laws;     Camp Fire death toll at 48;     New progress on Brexit    Via @nytimes @rutternyc @mapaya     ,2018-11-14 23:47:27,
#CampFire destroyed 93-year-old’s home. ‘I don’t think they’ll call it #Paradise again.’ @FresnoBee story and video:  ,2018-11-14 23:47:25,
"So @realDonaldTrump , let’s do a little “scarce resource” management. Here’s the question, you have 5,500 soldiers available. Do you send them to the border for a vapid threat from kids &amp; moms or to back up 1st responders fighting 5 expanding fires in California? FIRE or ICE??",2018-11-14 23:47:22,
"#campfire survivor and I wanted a lousy pizza.  #MountainMikes and #Roundtable don't want customers from the fire.  I think I can live without pizza for the rest of my life.  Thanks for nothing, jerks.  PB&amp;J in my hotel room.",2018-11-14 23:47:22,
"So many have lost so much to the horror of the #CampFire and it's really heartwarming to see @SierraNevada donate $100,000 to relief efforts. If you can support them please do. As well as the 27,000 people of Paradise who no longer have anything. ",2018-11-14 23:47:20,
#Concord #ConcordCA #WalnutCreek #WalnutCreekCA SUPPLIES NEEDED FOR #CampFire EVACUEES 🔽 #CampFireJamesWoods cc: #Antioch #Berkeley #Oakland ,2018-11-14 23:47:15,
PG&amp;E shares slammed again over fears of liability for Camp Fire ,2018-11-14 23:47:11,
Inside California's worst wildfire: The unprecedented devastation of the Camp Fire ,2018-11-14 23:47:08,
@i_D I havent see any celebrity helping the camp fire,2018-11-14 23:47:07,
Investors Flee As PG&amp;E Faces Scrutiny Over Cause of Northern California's Camp Fire | ProgramBusiness ,2018-11-14 23:47:07,
PG&amp;E shares slammed again over fears of liability for Camp Fire ,2018-11-14 23:47:05,
#CampFire #CaliforniaFires #CampFireJamesWoods 👇🏽👇🏽👇🏽👇🏽if you need shelter text SHELTER and your zip code to 43362 to locate an emergency shelter in your area. Please everyone stay safe follow @CAL_FIRE for updates.  🙏🏽 ,2018-11-14 23:47:01,0.0
‘We Lost Everything’: Surveying the Camp Fire’s Destruction -  -   Channels &amp; Shows     Home    Search      Natural Disasters     Log In    ,2018-11-14 23:47:00,
Uh...this is somewhat triggering for California fire?? ,2018-11-14 23:46:47,
This is a great story.  Kudos to Tracy Grant &amp; Josh Fox for taking in Lee Brundige. ,2018-11-14 23:46:43,
"SSVMS has launched a call for donations to help impacted physicians &amp; families. To donate, visit  or mail checks and/or giftcards to 5380 Elvas Ave Ste 101, Sac, CA 95819. 100% of your donations will go to  physicians of BGCMS! #CampFire @BGCMS  #SSVMS",2018-11-14 23:46:39,
Our #NorCal neighbors need us now!! The #CampFire has been absolutely devastating. Help #ButteCountyFire victims through the @LaunchGood campaign! ,2018-11-14 23:46:34,
"As the Camp Fire spreads, officials at the Oroville Dam are on guard. Managing weather extremes will require additional care in the face of #ClimateChange:  @EnvCalifornia @SFChronicle #CampFire",2018-11-14 23:46:30,
Authorities searching through the blackened aftermath of Northern Calif.'s #CampFire released the names of about 100 people who are missingDozens more could still be unaccounted for in the deadliest wildfire in state history@CBSMireya is on the ground  ,2018-11-14 23:46:29,
"Please consider reading, sharing &amp; donating to the #ButteCounty #schools #CampFire Relief Fund  @wadeowlett @OHEducationSupt @RuralED @Rural_Schools @RuralEdCenter @ChicoState @buttecollege @sacstate @SierraCollege @ucdavis #momsasprincipals ",2018-11-14 23:46:29,
"#BuildTheWall #BuildThatWall #CampFire #BorderPatrol #FirstResponders Everyone bring your unused RVs to Paradise, we are. God bless you, Snake! ",2018-11-14 23:46:13,
"@FEMA_Brock @SecretaryZinke So Stinky @SecretaryZinke, tell me how many acres/hectares of USDI lands were impacted by the Camp Fire? Looks like a political ""feel good trip"" at tax payer expense to me? @SenatorTester",2018-11-14 23:46:10,
Aid sought for victims of the Camp Fire in Butte County  ,2018-11-14 23:46:06,
First man to spot Camp Fire saw fierce winds turn it into a monster  via @MailOnline,2018-11-14 23:46:02,
These six people were arrested on looting and other charges in Camp Fire area #CampFire #Paradise #CaliforniaWildfires,2018-11-14 23:46:01,
"Despite their loss, the family is focusing on helping others in their new community.  via @LizGelardi #Denver7 #CampFire",2018-11-14 23:46:00,
"State Route 70, near Shady Rest Area (Butte County), this afternoon. #CampFire ",2018-11-14 23:45:59,
We are so blessed to live in a community where when you go to deliver donations there is an abundance! #TOStrong #WoolseyFire,2018-11-14 23:45:58,
"Info on financial assistance options and applications for aid (grants and loans) for students, faculty, and staff impacted by the #CampFire are now available: Support these grants by giving to the Wildcats Rise Fire Recovery Fund ",2018-11-14 23:45:57,
@CBSLA @JKCorden @latelateshow How about a message of support &amp; donations for #CampFire victims?,2018-11-14 23:45:56,
Support your #firefighters. Share &amp; donate if you can. ❤️👩🏻‍🚒👨🏻‍🚒#cdfffbenevolent #calfirelocal2881 #CampFire #WoolseyFire #CALFIREservingCA #wildfire #Paradise #Magalia #Malibu #FirstResponder #FireFamily #NonProfit #ButteCounty #brotherhood @calfirel2881 ,2018-11-14 23:45:56,0.0
"More than 100 are missing in California's Camp Fire, sheriff's office says   Unfathomable.",2018-11-14 23:45:55,
"Camp Fire because it burned a place on the North Fork of the Feather River, one of most beautiful forest canyons in America, leading to high elevation Lake Almanor, built by Edison Power Company to power Los Angeles. Snowfields. Lake Oroville will get debris in in its foredam. ",2018-11-14 23:45:54,
"It’s been noted that #WoolseyFire (the largest in SoCal) and #campfire (the most destructive) in California were created by years of unprecedented drought and high temperatures. Nobody, (ESPECIALLY in California) should ever think for a second that #ClimateChange doesn’t exist.",2018-11-14 23:45:51,
#CampFire evacuees seeking basic necessities and information can visit the following locations: ,2018-11-14 23:45:45,
Thanks for your reply! This is all due to the #campfire. It’s the worst Smokey day and the TriValley since the fire has erupted. ,2018-11-14 23:45:39,
A team from Tony LaRussa’s Animal Rescue Foundation is bringing to the east bay 8 dogs from Chico &amp; Paradise who were up for adoption before the #CampFire.  They’re making space for animals/pets that need to stay in Butte Co. Shelters.  ARF is waiving adoption fees through Sun. ,2018-11-14 23:45:36,
All this smoke from the northern California fire has been really affecting my mood on modding -_-so while I'm trying not to choke to death on day 6 of smoke... have some Camilla poggers ,2018-11-14 23:45:33,
"#CampFire#photooftheday #photographyA campfire is a fire at a campsite that provides light, warmth, &amp; heat for cooking. Also serves as a beacon, &amp; insect &amp; predator deterrent. Established campgrounds provide a steel fire ring for safety. Popular feature of camping ",2018-11-14 23:45:29,
"#CAWildfires have made a wonderful couple homeless, please show your support with a donation as small as $5! #woolseyfire #charity #firerecovery Goodwin-Jones Fire Recovery Fund ",2018-11-14 23:45:27,
Family loses dog in Sacramento after escaping Camp Fire  ,2018-11-14 23:45:23,
".@CityMalibu City Manager Reva Feldman attends #WoolseyFire Repopulation meeting with @jbLASD, Law Enforcement, Fire, Health, &amp; Infrastructure Reps from all over the region. Discussed evacuation areas, road closures, &amp; public safety concerns.  #LASD ",2018-11-14 23:45:19,
