tweet,time,score
⚡️ “631 people are listed as missing from the Camp Fire by Butte County”,2018-11-16 23:53:39,
#SanFrancisco air quality is deteriorating with an Air Quality Index of 271 as of 3 p.m. — which is approaching “hazardous” air quality due to the #CampFire smoke blanketing the Bay Area. ,2018-11-16 23:53:36,
#CAFire#CampFire How much money should we spend on these insane projects when we have thousands of Americans who have lost their homes to fire ,2018-11-16 23:53:33,
Let’s stay safe as we re-enter #ParadiseCA from the #campfire. #ParadiseFire #campfireparadise #ButteFire ,2018-11-16 23:53:33,
This used to be a PVC fence here in Agoura #California before the #woolseyfire destroyed this entire area. Everything looks like #mars. #campfire #malibufire #malibu #fire #ca #firefighter ,2018-11-16 23:53:29,
California throws lifeline to PG&amp;E over potential Camp Fire liability  via @cbsmoneywatch,2018-11-16 23:53:23,
"Calling all #Earpers , if you donate to @CAFireFound to help out those in California you could win some pretty cool prizes. Including a pass to #EarpExpo2019! Details are attached. #WynonnaEarp #dogood #CampFire #WoolseyFire ",2018-11-16 23:53:19,
"Read the article.  #California has already bailed out #PG&amp;E for fires in 2017 and for those in 2019 and beyond, but forgot to include 2018.  Not to worry, the #PUC to the rescue. #CampFire ",2018-11-16 23:53:13,
@KHNews @youngsamantha @ab_ibarra Homedepot is out of masks....I just ordered a 10pk on the N95 for $13.95 on #Amazon #Campfire,2018-11-16 23:53:06,
"Firefighter radio transmissions indicate that a possible “second start” of the #CampFire was caught on a firewatch camera near the #Concow reservoir, about a half-hour after the first flames were reported about five miles northeast near Poe Dam and Pulga. ",2018-11-16 23:53:04,
"More #smoke from the #campfire #bernalhill @ Bernal Heights, San Francisco ",2018-11-16 23:52:47,
Meet @StateFarm Claim Team Representative Alissa Marsenburg deployed to assist our customers impacted by the #CampFire. She became concerned with the warmth of her customers so during her lunch break instead of buying a sandwich she bought blankets. #HereToHelp ,2018-11-16 23:52:44,
"🔥For California fire news &amp; how to help, follow my lists:CALIFORNIA: HUMANITARIAN:  #CampFire #Paradise #ButteCounty #WoolseyFire #Calabasas #WestHills #Malibu #MalibuFire #HillFire #OakPark #VenturaFire #Topanga #TopangaCanyon",2018-11-16 23:52:41,1.0
#Concow superintendent says 10 students are missing. All staff are accounted for. #CampFire #CampFireJamesWoods #ParadiseFire #ButteSheriff #ButteCounty #Paradise #Magalia #CaliforniaFire #CaliforniaWildfires ,2018-11-16 23:52:41,
Unreal #CampFire ,2018-11-16 23:52:38,
"Oh my, just a gut-wrenching report from @ReporterSteph as she accompanies a man searching for his disabled wife in the midst of the California fires. ",2018-11-16 23:52:35,
"Price says that ""now, most people need cash, gift cards, hands and tools to clean up and rebuild.""“It’s best to go to the place and let them tell you want they need."" #CaliforniaFires ",2018-11-16 23:52:32,
Great news to report!  Hopefully we will all breathe a little easier by the middle to latter part of next week as storms arrive &amp; clean out our air!  Bringing out the Storm Impact Scale!  #CampFire #SanFrancisco #BayArea #CaliforniaWildfires ,2018-11-16 23:52:31,
💛 | LIVEContinuing with our California Fire Relief fundraising &amp; checking out #Sims4 Get Famous CAS &amp; Build/Buy. 🥰 ,2018-11-16 23:52:27,1.0
Horribly heartbreaking. Families Desperately Searching For Their Loved Ones After The Camp Fire ,2018-11-16 23:52:25,
"While others covered the #WoolseyFire, I headed up to Idyllwild. It nearly burned just a few months ago. Now, residents are trying to protect the town while also considering forest health. My latest with @vickieaconnor &amp; @jaymcalderon:  via @MyDesert",2018-11-16 23:52:15,
Bay Area's Air Quality Currently the Worst in the World #CampFire #CampFire #NationalWeatherService  ,2018-11-16 23:52:13,
"How many people are going to die in next year's fires? And in the next year's? #ClimateChange means that the fires will keep getting worseUnless something serious changes, more will die every year. It will likely get *bad*. Fix it. Demand that the government fixes it. #CampFire",2018-11-16 23:52:10,
The town also had park service members and families living on site. A washer and dryer are all that’s left slightly standing at this house. #Woolseyfire. @KPCC @LAist ,2018-11-16 23:52:09,
The #CampFire has been devastating.  #HumanKindness #Compassion and #CaliforniaStrong through unity of community!  ❤️❤️ ,2018-11-16 23:51:57,1.0
"These before-and-after images of buildings in Paradise, California, give a glimpse of the devastation from the Camp Fire, the deadliest and most destructive wildfire in the state's history  ",2018-11-16 23:51:56,
#CampFire The mystery Camp Fire 'second start': Was it captured on firewatch camera?  via @mercnews,2018-11-16 23:51:55,
Here's a list of Bay Area schools closed due to smoke from #CampFire.  ,2018-11-16 23:51:52,
Dr. Smith is #CampFire site Weds to Sunday working with @NVADG @ucdavisvetmed &amp; @TheCVMA There are many injured animals and animals needing shelter and veterinary care. There are more still to be found. Please consider donating to any of the organizations tagged in this tweet. ,2018-11-16 23:51:48,
"Dr. Smith is at the #CampFire We wanted to keep you updated, here are some pictures and we will have a statement shortly. Thank you to everyone that has contributed to this unfortunate situation. #CAwildfires #community ",2018-11-16 23:51:47,
"These before-and-after images of buildings in Paradise, California, give a glimpse of the devastation from the Camp Fire, the deadliest and most destructive wildfire in the state's history  ",2018-11-16 23:51:46,
Amy was just interviewed by channel 2 and #Fox News regarding the #campfire in #Paradise..6pm and 9pm tonight ,2018-11-16 23:51:39,
"The smoke is so bad, Mt. Diablo is completely blocked out #campfire #BayAreaSmoke #danvilleca #mtdiablo ",2018-11-16 23:51:31,
Northern California air quality reaches dangerous levels as smoke from Camp Fire spreads - NBC News ,2018-11-16 23:51:28,
"""What do you tell people who are sleeping in a parking lot and still have to wait 5-7 days to even get an answer from FEMA?""Camp Fire evacuees at makeshift camp in Walmart parking lot given deadline to leave  via @CBSNews #CampFire",2018-11-16 23:51:14,
Very nice. +1#PrayForCalifornia #CaliforniaWildfires #CampFire ,2018-11-16 23:51:07,
@RealJamesWoods  FYI~This USAF Veteran has (maybe had) some empty paddock's for Camp Fire Horses. here is her facebook Page: ,2018-11-16 23:50:55,
We need more media coverage on this. There’s a reason Camp Fire is the biggest &amp; most toxic in California history. ,2018-11-16 23:50:53,
"Inside the Camp Fire perimeter, these residents faced the inferno. Now, they&amp;amp;apos;re… ",2018-11-16 23:50:49,
"Hi everyone, please click here to support my GoFundMe campaign, Camp Fire Butte County:",2018-11-16 23:50:45,
"Here’s a stunning statistic regarding the California wild fires, specifically the Camp Fire: at one point, the fire was burning at a speed of 800 acres every minute, or a little over one… ",2018-11-16 23:50:44,
More Southern California fire evacuees return home  ,2018-11-16 23:50:41,
"#CampFire reportedly 45% contained, with active fire in the Northeast and Southeast quadrants. Fire immediately near #LakeOroville has dwindled. @BakersRelay",2018-11-16 23:50:33,
Video Evidence of Tech Arson Being Used to Start the ‘Camp Fire’ that Destroyed Paradise CA ,2018-11-16 23:50:30,
Looking to get away from all the smoke in the #SanFrancisco #BayArea?  You can find good air quality in Tahoe &amp; parts of #SoCal.  #CampFire #CaliforniaWildfires ,2018-11-16 23:50:29,
"These unlikely bedfellow refugees from the #CampFire will just ""D'Awwww"" your heart into a puddle ",2018-11-16 23:50:27,
"""More Southern California Fire Evacuees Return Home"" by THE ASSOCIATED PRESS via NYT ",2018-11-16 23:50:13,
"Look closely. This is where our friends, neighbors and families live and work. Pix taken one week apart. #campfire #Woolseyfires #firefighters ",2018-11-16 23:50:10,
"This is how friends, neighbors and allies do it.""initially went out and started buying $25 gift cards to hand out so people could buy daily necessities."" #CaliforniaWildfires #CampFire ",2018-11-16 23:50:08,
"Catch up on all the latest construction from around the world. Every week, we bring you 10 of the most newsworthy construction stories in an easy to access slideshow. Click through and grind away!  #CampFire #AmazonHQ2 #GreenBuilding ",2018-11-16 23:50:07,
"As areas affected by the #CampFire are opened to the public, there is important HEALTH and SAFETY information to be aware of.#buttecounty @ButteSheriff @CountyofButte @paradise_ca @chicofd @chicopolice @CHP_Valley @CHP_Oroville @CHP_Chico ",2018-11-16 23:50:05,
From a friend who lost his home and business in the #WoolseyFire: Jesse James Element Fire Relief! ,2018-11-16 23:50:04,
Cal-Stanford was postponed because of health concerns from the Camp Fire  ,2018-11-16 23:50:02,
Her story really resonates with me! Please take a look. #community I donated to 'Anna Dise' -   via @gofundme #donate #fundraiser #GoFundMe #please #share #support #fire #campfire #ParadiseCA #ButteCounty,2018-11-16 23:49:57,
Step aside #Beijing -- NorCal now has the distinction of having worst air in the world  via @nbcbayarea   snapshot of SFBay cities at 2:18pm Fri 11/16/18 #CampFire #AirQuality Really need that #AtmosphericRiver about now... ,2018-11-16 23:49:53,
"(All donation links directed respondents through a Democratic clearinghouse, which collects emails and builds donor lists exclusively for left-wing causes.)Kamala Harris sent email to raise money for California fire victims, but left out one little detail ",2018-11-16 23:49:39,
#CampFire smoke forces #SacramentoState to cancel all classes through #Thanksgiving ,2018-11-16 23:49:36,
#CampFire All these babies are looking for their pet parents.... ,2018-11-16 23:49:30,
Northern California fire brings worst air quality in the world to residents hundreds of miles away ,2018-11-16 23:49:19,
#CampFire 11∙16∙18 - Some evacuation orders reduced to evacuation warnings. ,2018-11-16 23:49:15,
For a detailed explanation about #FEMA assistance due to #CampFire #CaliforniaFires #paradise affecting #GreenCard for #immigrants go to ,2018-11-16 23:49:15,
"New: former police chief of both Chico &amp; Oroville, Kirk Trostle, and his wife, a retired elementary school principal, sue @PGE4Me for causing the #CampFire, which destroyed their #Paradise home and the homes of their grown children.",2018-11-16 23:49:12,
California throws lifeline to PG&amp;E over potential Camp Fire liability ,2018-11-16 23:48:53,
"@CharismaMolotov @isa_m_ferreira @KeepingNanaSane @TarynStanford @CapaTosta122 @SelfImposedXile @DeadBunnyFrank @DrSCubed @shaun_pinkham @Lonestarindie @JustDuckyDuck @ThomONeil1 @cindyrelish @maniscalco_carl @OdysseusAtTroy @pmm526 Trump will be in Chico tomorrow, but it’s difficult to obtain any specifics on where and when. At this moment, I haven’t heard of any “welcoming committees.”  I assume most people are busy with #CampFire efforts.",2018-11-16 23:48:48,
Old Town Pizza and Tap House tonight and this weekend will donate a portion of their sales to relief for the Camp Fire victims. The owners shared this photograph of their grandparents' devastated house in Paradise. ,2018-11-16 23:48:40,
@mselip  Let me ask you a question and get your opinion during the California fire over 60+ people died Donald Trump refused to render assistance to California because they're a sanctuary city does that make him a murderer ???,2018-11-16 23:48:32,
"Hi everyone, please click here to support my GoFundMe campaign, Camp Fire Butte County:",2018-11-16 23:48:31,
"""More Southern California Fire Evacuees Return Home"" ",2018-11-16 23:48:24,
"Super-proud of #NBTB alum Joe Meyerson @palicharterhigh for this beautiful, empathetic, detailed look at survivors of #WoolseyFire: Behind the Cross: The Stories of Pali’s Woolsey Fire Victims ",2018-11-16 23:48:02,
Evacuated from the #CampFire? Contact your insurer at their Toll Free Phone Number  #Wildfires ,2018-11-16 23:48:01,
The 'new abnormal' — California megafires explode with off-the-charts fury  by @bsaxifrage via @NatObserver #CampFire #ClimateBreakdown #climate,2018-11-16 23:47:58,
This .gif of the air quality in the Bay Area before and during the #CampFire almost looks fake. ,2018-11-16 23:47:50,
"An open note to @realDonaldTrump:Please do NOT come to #California to ""inspect"" the fire damage. Please stay in DC.We all know YOU DO NOT CARE. No sympathy.Plus, you deny #ClimateChange.WE DISLIKE YOU AS MUCH AS YOU DISLIKE US.#CampFire #trump #CaliforniaFires #Paradise ",2018-11-16 23:47:50,
"@blogger4girl @thespybrief I don't know anyone who did this time (am in Monterey Bay area). But almost every disaster over last 2 yrs, yes 😰 Point peeps to ""Fema, $"" section for housing $ &amp; programs. We're working on Camp Fire toy drive for kids for Xmas now 💚 #DisasterAssistTeam",2018-11-16 23:47:50,
Join the woman@ GoFundMe (Default) group in raising money to support those displaced in the #campfire ,2018-11-16 23:47:46,
How the Camp Fire overwhelmed Paradise - The Washington Post ,2018-11-16 23:47:43,
@KristySwansonXO #CaliforniaWildfires #MalibuFire #CampFire #ButteCountyFire #Woolseyfires #CALIFORNIA 631+ MISSING!!!!!!!!!!!!!!!!!!!!!🤬LET THIS SINK IN,2018-11-16 23:47:39,
Camp Fire smoke closes UC-Berkeley and other Bay Area colleges  #wildfire #health,2018-11-16 23:47:36,
"@riotwomennn For the record, the Camp fire started in a federally controled and managed forest.",2018-11-16 23:47:22,
@LeeBeth7 Thanks Lee Beth! We gotta celebrate any &amp; all good news from the #CampFire.,2018-11-16 23:47:19,
Camp Fire Evacuees At Makeshift Camp Given Deadline To Leave ,2018-11-16 23:47:14,
"Wow everyone. #Trump is coming to California on Saturday where, he says, over 600 are dead...Motherfucker, if you can't even get missing v death tolls accurate, keep your backassward shit where it is.WE DON'T NEED NOR WANT YOU HERE!#CampFire #TrumpNotWelcome ",2018-11-16 23:47:12,
🔔Survivor: Christopher &amp; Marcel❤️❤️❤️I live at second house of one of my collector☀️My studio will be here for months👽in Woodland Hills☘️ #artwork #fate #hoolywood #woolseyfire @ Woodland… ,2018-11-16 23:47:11,1.0
The bizarre and frightening conditions that sparked the Camp Fire  ,2018-11-16 23:47:06,
"One week ago, WDJ editor Nancy Kerns was just trying to get a litter of puppies adopted. This week, there are hundreds of pets in her California county - dogs,... ",2018-11-16 23:47:04,
Local Breweries Helping While the Camp Fire in California Rages on |  ,2018-11-16 23:47:01,
"Number of people dead, missing in Camp Fire jumps as crews search for remains ",2018-11-16 23:47:00,
"To help those impacted by the Camp Fire in Butte County, we're teaming up with @hmbbrewingco. They're donating all proceeds from food sales on Thanksgiving and we're matching that amount for double the impact -- at least $20,000 in total.  Read More:  ",2018-11-16 23:46:54,
"#CampFire #SFSPCA #Facebook Injuries range from mild to severe burns, receiving treatment at our hospital. We haven’t been able to find the owners for most of these #pets. Please help us by sharing this album! If you believe one of these animals is yours, call us at 415-554-3030",2018-11-16 23:46:53,
"To give some perspective - Paradise (CA, and I've been there) is a four hour drive from SF. Saddening and disturbingCamp Fire smoke closes UC-Berkeley and other Bay Area colleges ",2018-11-16 23:46:47,
Camp Fire creates Butte County housing crisis as thousands have no place to go  ,2018-11-16 23:46:45,
fuck ,2018-11-16 23:46:37,
California throws lifeline to PG&amp;E over potential Camp Fire liability  via @cbsmoneywatch,2018-11-16 23:46:26,
@realDonaldTrump Your ignorance on climate and wildfires in California is astounding. Raking leaves would not have prevented the fires &amp; climate change plays more than just a tiny role. Where are the rains that usually start in September? #CampFire #hackpresident #ClimateChange,2018-11-16 23:46:25,
"@TrumpamericanM @GOP @realDonaldTrump @kayleighmcenany ""The wooded land that abuts Paradise, Calif., the community so badly damaged by the Camp Fire, underwent the kind of post-fire logging that Mr. Trump’s tweet and Mr. Zinke’s article suggested. That was just under a decade ago, Dr. Hanson said, but the city is now in ashes."" NYT",2018-11-16 23:46:22,
"""Trump blames #CaliforniaWildfires on forest mismanagement againDay before a visit to the state, president says climate change may contribute ‘a little bit’ to devastation#CampFire #California ",2018-11-16 23:46:16,
"Butte CO schools won't be back until December, according to the superintendent.#zrockfm #1067FM ",2018-11-16 23:46:15,
I'm sure most of you have heard about #campfire #campfire2018 There are currently over 600 souls missing. Several neighborhoods have been leveled. I can't speak for foundations… ,2018-11-16 23:46:07,
"Dangerous air quality shuts down #Cali businesses, schools ",2018-11-16 23:45:59,
SMH seeing all the people in #SanFrancisco walking around with surgical masks on because of the #CampFire.People: the masks DO NOTHING to protect you from smoke particles!See the message from #UCSF pediatricians below: ,2018-11-16 23:45:56,
"With more than 600 reported missing in California's Camp Fire, searches comb burned-out towns, vehicles",2018-11-16 23:45:54,
"Retired Chico police chief, school principal sue PG&amp;E over Camp Fire ",2018-11-16 23:45:49,
The Camp Fire Forced Cal and Stanford to Cancel the Big Game  ,2018-11-16 23:45:37,
This story arrived in #ChicoState alumni mailboxes the week the #CampFire broke out. ,2018-11-16 23:45:34,
🎏 @3FishStudios raised over $50k for #CampFire relief fund. Just picked up my art 🙌  ,2018-11-16 23:45:22,
San Francisco as (not) seen from Treasure Island. Smoke from the Camp Fire continued to smother the Bay Area on Friday and dropped the air quality in Northern California to the worst in the world. #CampFire #CAWildFires #Smoke ,2018-11-16 23:45:20,
"If you've suffered damage or had to evacuate due to the #CampFire, you might be eligible for a grant from #Pilots for Pilots (P4P) to help you recover from the impact. Visit the P4P website to see if you're eligible for a grant.  ",2018-11-16 23:45:03,
"Misery grows in Camp Fire: 63 dead, 631 missing as fearful relatives submit DNA samples Please donate to Red Cross!  via @sfchronicle",2018-11-16 23:45:01,
@gailAgellman My heart and prayers are with anyone who has been affected by these fires. #malibu #california #fire ,2018-11-16 23:44:59,
"There are hot meals, supplies and activities in Chico Lowe’s parking lot now until 6p. #CampFire @Lowes",2018-11-16 23:44:55,
