tweet,time,score,human_score
"[agree, !, !, everytime, i, see, a, video, or, an, update, on, the, #fire, deaths, rising, each, day, &, amp, ;, #remember, what, that, f, *, cking, #fakepresident, #tweeted, saying, it, was, ca, fault, i, want, to, [, face, screaming, in, fear, ], how, dare, he, !, !, [, ?, ], i, hope, the, people, of, ca, from, #paradisefire, #woolseyfire, and, all, the, others, give, him, [, reversed, hand, with, middle, finger, extended, ], [, reversed, hand, with, middle, finger, extended, ]]",2018-11-15 23:58:58,0.0,0.0
"[new, satellite, view, of, camp, fire, as, it, burned, through, paradise, such, information, ,, if, it, had, been, available, immediately, after, the, satellite, obtained, the, images, and, been, updated, frequently, ,, might, have, been, invaluable, to, firefighters, ., #campfire]",2018-11-15 23:58:56,,1.0
"[housing, crisis, concerns, grow, as, camp, fire, continues, to, burn]",2018-11-15 23:58:47,,0.0
"[toxic, sf, air, quality, gets, worse]",2018-11-15 23:58:44,,0.0
"[some, concerning, ,, lingering, #aqi, numbers, out, there, ., #campfire]",2018-11-15 23:58:40,,0.0
"[california, fire, :, nurse, describes, frantically, wrapping, up, newborn, babies, and, fleeing, to, safety, via]",2018-11-15 23:58:24,,1.0
"[utility, company, that, may, be, on, the, hook, for, camp, fire, :, cost, of, damages, exceeds, our, insurance, coverage]",2018-11-15 23:58:20,,0.0
"[thank, you, for, your, generous, contribution, in, support, of, the, victims, of, the, fires, ,, and, their, families, ., #campfire, #woolseyfire]",2018-11-15 23:58:16,,1.0
"[mom, gives, birth, in, burning, ambulance, during, california, fire]",2018-11-15 23:58:12,,0.0
"[san, francisco, air, now, at, purple, levels, (, 235, ,, aka, very, unhealthy, ), [, flushed, face, ], [, face, with, medical, mask, ], [, dash, symbol, ], #campfire, #smoke, #imisscleanair, #november, #californiafires]",2018-11-15 23:58:09,0.0,0.0
"[home, in, the, east, bay, with, family, right, now, ., be, advised, given, the, poor, air, quality, #campfire]",2018-11-15 23:58:07,,1.0
"[geez, it's, so, smokey, in, napa, (, california, ), today, ,, a, mask, (, n95, ), just, isn't, enough, !, you, literally, could, use, a, gas, mask, ,, something, to, cover, your, eyes, too, !, keeping, the, camp, fire, evacuees, &, amp, ;, first, responders, in, my, prayers, !, #campfire, #smokeynapa]",2018-11-15 23:58:05,,0.0
"[california, fire, sun, ...]",2018-11-15 23:58:00,,0.0
"[thousands, of, animals, need, emergency, care, after, the, #campfire, devastated, butte, county, ,, ca, ., i'm, helping, raise, the, funds, needed, to, rescue, animals, and, provide, aid, to, communities, recovering, from, disaster, ., will, you, join, us, ?]",2018-11-15 23:57:54,,1.0
"[point-by-point, breakdown, of, how, the, globalists, engineered, the, california, fire, apocalypse, (, videos, )]",2018-11-15 23:57:48,,0.0
"[i, was, listening, to, a, portland, or, radio, station, last, night, and, was, surprised, to, hear, that, they, were, reporting, smoke, from, the, camp, fire, .]",2018-11-15 23:57:45,,0.0
"[98,362, acres, burned, is, equivalent, to, 153.7, square, miles, ,, equivalent, to, whole, city, of, denver, (, 153, ), ., by, comparison, ,, san, francisco, is, 46.9, square, miles, in, total, land, area, only, ., total, fire, damage, area, approaching, equivalent, to, san, jose, :, 176.5, sqmi, #woolseyfire]",2018-11-15 23:57:44,,0.0
"[it's, been, 1, week, since, the, fire, and, here's, my, thoughts, from, my, snapchat, ., #campfire, #buttecounty]",2018-11-15 23:57:40,,1.0
"[so, this, is, happening, ., #campfire, #potus, #trump]",2018-11-15 23:57:36,,0.0
"[i, am, 200, miles, south, of, the, camp, fire, and, schools, and, colleges, are, having, to, shut, because, the, air, is, so, bad, ., it, is, worse, now, than, a, week, ago, ., i, can, smell, smoke, inside, my, house, .]",2018-11-15 23:57:14,,0.0
"[crews, search, for, california, fire, victims, as, list, of, missing, grows, #mustread, #feedly]",2018-11-15 23:57:14,,0.0
"[camp, fire, about, the, size, of, des, moines, metro, area]",2018-11-15 23:57:10,,0.0
"[bay, briefing, :, fighting, camp, fire, -, and, fighting, days, of, fatigue]",2018-11-15 23:56:59,,1.0
"[new, post, (, crews, search, for, california, fire, victims, as, list, of, missing, grows, ), has, been, published, on, daily, top, pop, -]",2018-11-15 23:56:59,,0.0
"[i, honestly, feel, like, theres, so, much, more, coverage, of, the, woosley, fire, that, affects, mostly, wealthy, white, malibu, people, with, insurance, up, to, their, necks, ,, meanwhile, campfire, is, more, deadly, and, destructive, ., #woosleyfire, #campfire]",2018-11-15 23:56:51,,0.0
"[#breaking, #napa, school, district, shutting, down, friday, due, to, bad, air, from, the, #campfire]",2018-11-15 23:56:47,,0.0
"[check, your, air, filters, ,, folks, !, that, filter, was, lily, white, 72, hours, ago, !, it, looks, like, it's, been, up, for, 3, +, months, !, #sacramento, #campfire]",2018-11-15 23:56:37,,0.0
"[this, is, my, gofundme, page, for, my, family, and, community, from, the, paradise, #campfire]",2018-11-15 23:56:33,,1.0
"[california, fire, :, man, frees, horse, trapped, in, pool, after, fleeing, blaze]",2018-11-15 23:56:23,,1.0
"[you, are, not, welcome, to, california, #woolseyfire, #californiawildfires, #thousandoaksmassacre, #malibufire, #campfire, #firefighters, #california, #firstresponders, #thousandoaks]",2018-11-15 23:56:19,,0.0
"[', this, is, not, normal, ., ', to, identify, camp, fire, remains, ,, sacramento, coroner, faces, around-the-clock, challenge]",2018-11-15 23:56:14,,0.0
"[i, just, want, it, to, rain, bc, 1, ., isn't, it, suppose, to, be, fall, ?, 2, ., it, would, clear, a, lot, of, the, camp, fire, smoke, [, disappointed, face, ], 3, ., it, would, make, me, happy, and, a, bitch, needs, to, be, happy, 4, ., it's, fucking, fall, 5, ., the, smoke, 6, ., yay, 7, ., f, a, l, l]",2018-11-15 23:56:11,0.0,
"[i've, been, in, the, bay, area, 22, years, and, have, never, seen, anything, like, this]",2018-11-15 23:56:10,,
"[save, filaree, -, home, lost, in, ca, fires, please, help, !, #woolseyfire, #malibu, #californiafires]",2018-11-15 23:56:10,,
"[there, are, so, many, ways, to, help, ., here, is, a, link, to, help, the, victims, of, the, camp, fire, directly, .]",2018-11-15 23:56:04,,
"[i'm, standing, in, a, long, line, in, chico, to, get, my, mail, and, i'm, listening, to, everyone, share, their, experiences, with, each, other, ., it's, absolutely, heartbreaking, ., beyond, tragic, ., #ridgestrong, #paradisestrong, #buttecountystrong, #campfire]",2018-11-15 23:56:01,,
"[can, you, see, the, sky, ?, #campfire]",2018-11-15 23:56:01,,
"[horrific, -, california, ', camp, fire, ', death, toll, climbs, to, 56, -, hundreds, of, people, remain, missing, ...]",2018-11-15 23:55:52,,
"[thursday, ,, nov, ., 15, update, on, the, camp, fire, :, please, keep, praying, &, amp, ;, you, can, donate, here, :]",2018-11-15 23:55:52,,
"[jeanine, kranich, found, alive, after, camp, fire, !, thank, you, god, !, thank, you, all, who, retweeted, !, #jameswoodscampfire]",2018-11-15 23:55:50,,
"[enjoying, the, roasting, of, california, fire, dew, laser, conspiracy, theorists, very, much, .]",2018-11-15 23:55:49,,
"[#woolseyfire, take, note, folks, .]",2018-11-15 23:55:47,,
"[#campfirejameswoods, #campfire, #paradisemissing, #campfiremissing, #missing, 7, days, missing, !, nancy, castillo, and, son, todd, ,, 5485, pentz, rd, ,, paradise, ., poc, :, leanne, coffman, @, camp, fire-missing-people, &, amp, ;, pets]",2018-11-15 23:55:46,,
"[crews, search, for, california, fire, victims, as, list, of, missing, grows]",2018-11-15 23:55:34,,
"[a, sonoma, county, search, and, rescue, team, continues, a, search, for, missing, people, days, after, the, #campfire, ripped, through, paradise, ,, calif, ., ,, thursday, ,, nov, ., 14, ,, 2018, ., the, death, toll, of, the, fire, reached, 56, as, of, yesterday, according, to, officials, ., (, photos, joel, angel, juarez, /, )]",2018-11-15 23:55:32,,
"[yes, !, !, [, ?, ], thank, you, so, much, first, responders, for, your, passion, to, help, other, in, need, in, extremely, emergencies, ,, you, are, real, angels, ,, and, heroes, ., [, person, with, folded, hands, ], [, person, with, folded, hands, ], [, person, with, folded, hands, ], #nbcla, #californiafires, #campfire, #woolseyfire, #hillfire, #firstresponders]",2018-11-15 23:55:21,1.0,
"[deadly, california, fire, could, worsen, state's, homeless, crisis, via]",2018-11-15 23:55:08,,
"[#stanfordsoccer, #ncaasoccer, will, the, air, quality, be, an, issue, playing, tomorrows, games, ?, #paloalto, #campfire]",2018-11-15 23:55:02,,
"[wsu, phd, grads, escape, deadly, california, fire, with, their, young, daughter, -, jack, mcnassar, is, a, professor, for, wsu, global, campus, :, via, #wsu, #pullman, #wsuglobalcampus]",2018-11-15 23:54:57,,
"[this, #nationalphilanthropyday, i, join, our, community, to, help, firefighters, &, amp, ;, those, affected, by, the, #woolseyfire, ., is, collecting, new, clothes, ,, toys, &, amp, ;, food, in, their, office, ., if, you'd, like, to, donate, monetary, funds, ,, donate, to, more, info, :]",2018-11-15 23:54:56,,
"[#campfire, come, on, !, can't, you, guys, open, up, military, bases, to, give, these, people, shelter, ?, ?, to, have, them, live, in, tents, in, a, tent, city, in, a, walmart, parking, lot, ?, ?, ?, my, god, !, this, is, america, !, !, come, on, !, !, they've, lost, everything, !, !, !, my, god, !, !, !, come, on, trump, !, !]",2018-11-15 23:54:53,,
"[high, pressure, to, our, west, keeps, steering, smoke, from, the, camp, fire, across, our, neighborhoods, ., sinking, air, within, high, pressure, also, puts, a, lid, on, atmosphere, and, concentrates, all, the, smoke, near, the, earth's, surface, .]",2018-11-15 23:54:46,,
"[mandatory, evacuation, orders, continued, lifting, thursday, in, much, of, malibu, ., residents, ,, who, have, to, show, identification, in, order, to, reenter, the, city, ,, will, find, mansions, and, mobile, ...]",2018-11-15 23:54:41,,
"[[, fire, ], [, fire, ], [, fire, ], #woolseyfire, #campfire, #hillfire, you, teach, us, persistence, ,, surrender, ,, gratitude, ,, unity, ., you, teach, us, [, flexed, biceps, ], strength, ., and, for, this, ,, we, thank, you, ., [, relieved, face, ], ......, #persistence, #strength, ...]",2018-11-15 23:54:41,1.0,
"[listen, up, q-anon, morons, and, other, conspiracy, nuts, :, i, worked, as, a, search, &, amp, ;, rescue, volunteer, when, i, was, younger, ,, and, i, can, tell, you, that, tree, tops, often, escape, wildfire, ,, aluminum, melts, ,, and, you, all, need, a, hobby, ., #qanon, #campfire]",2018-11-15 23:54:38,,
"[_embarcadero, _milano, be, sure, to, catch, the, end, ., agenda, 21, san, diego, :, they, want, to, eliminate, parking, so, that, people, stop, driving, (, he, has, many, videos, showing, it, taking, place, ,, attends, city, mtgs, ..., ), #woolseyfire, #sierrafire, #2030agenda, stack, &, amp, ;, packs, for, all, .]",2018-11-15 23:54:36,,
"[i'm, ready, for, the, californapocalypse, ..., that's, haziness, behind, me, is, not, an, out, of, focus, background, ;, it's, the, smokey, haze, we've, be, living, with, for, the, past, week, from, the, camp, fire, in, ...]",2018-11-15 23:54:36,,
"[the, genocidal, california, fire, operation, .]",2018-11-15 23:54:34,,
"[malibu, restaurants, brave, #woolseyfire, ., our, thoughts, are, with, you, !, !, #waiterwallet, #ultimateserverbook]",2018-11-15 23:54:33,,
"[_valley1, _valley, _ca, _chico, a, sad, day, in, history, #buttecountyfire, #buttecountystrong, #paradisestrong, #campfire]",2018-11-15 23:54:32,,
"[due, to, the, #campfire, the, air, quality, is, at, an, unhealthy, level, not, only, for, you, but, for, your, pets, ., please, check, out, this, article, for, signs, of, smoke, inhalation, in, your, pets, (, the, article, is, from, last, year, but, the, tips, and, signs, are, accurate, ), .]",2018-11-15 23:54:23,,
"[my, heart, goes, out, to, the, california, fire, victims, but, i, also, have, deep, concerns, on, why, is, the, same, efforts, for, requests, for, reliefs, not, applied, for, homeless, people, ?, why, aren't, enough, californians, asking, for, more, housing, ,, job, rehabilitation, ,, and, mental, health, services, for, them, ?]",2018-11-15 23:54:22,,
"[this, morning, ,, a, police, officer, fired, at, someone, inside, the, #campfire, closure, zone, in, paradise, ., unclear, if, anyone, was, hit, ., authorities, are, treating, it, as, a, crime, scene, ., press, barred, from, area, ., the, has, the, story, :]",2018-11-15 23:54:17,,
"[crews, search, for, california, fire, victims, as, list, of, missing, grows]",2018-11-15 23:54:14,,
"[crews, search, for, california, fire, victims, as, list, of, missing, grows]",2018-11-15 23:54:14,,
"[i, was, not, meant, to, be, seen, in, public, ,, but, i, picked, up, my, bug, from, school, early, and, now, we're, settled, in, ., #vacationmode, #staysafe, #stayinside, #campfire, #butte, #california, [, heavy, black, heart, ]]",2018-11-15 23:54:14,1.0,
"[_fire_news, thank, you, for, risking, your, lives, to, stop, the, #californiafire, and, #campfire, ., we're, working, to, turn, every, [, fire, ], emoji, into, a, reminder, to, donate, and, support, you, guys, fighting, the, real, [, fire, ], ., we're, sending, support, to, the, california, community, foundation, here]",2018-11-15 23:54:13,1.0,
"[crews, search, for, california, fire, victims, as, list, of, missing, grows]",2018-11-15 23:54:09,,
"[lake, merritt, in, oakland, at, 246, aqi, (, today, ), vs, ., on, a, normal, day, ., this, isn't, fog, ., it's, smoke, ., sadly, ,, #california, has, a, new, normal, ., we, desperately, need, #firstrain, #firstsnow, ,, and, #climateaction, ., #campfire, #airquality, #californiafires, #californiawildfires, #thursdaythoughts]",2018-11-15 23:54:07,,
"[not, blade, runner, 2049, but, san, francisco, 2018, ,, impacted, by, #campfire, ., stay, safe, everyone, !]",2018-11-15 23:53:52,,
"[i, feel, really, bad, for, all, the, people, that, lost, their, homes, in, this, camp, fire, we've, got, going, on, ., it's, an, estimated, 6, months, before, people, can, return, to, the, town, of, paradise, ,, which, was, destroyed, ., who, in, america, can, live, for, 6, months, (, 2, months, even, ), when, their, job, and, home, are, gone]",2018-11-15 23:53:27,,
"[sign, posted, at, walmart, in, chico, #campfire]",2018-11-15 23:53:25,,
"[same, :/, the, pic, one, this, is, from, the, middle, of, the, day, ., i, heard, on, the, news, the, other, day, that, we, have, the, worst, air, quality, in, the, entire, us, rn, cause, of, the, camp, fire, .]",2018-11-15 23:53:18,,
"[terrifying, :, time-lapse, video, shows, progression, of, the, #woolseyfire, over, the, hills, in, #malibu, ., officials, estimate, the, wildfire, has, destroyed, more, than, 400, structures, .]",2018-11-15 23:53:11,,
"[crews, search, for, california, fire, victims, as, list, of, missing, grows]",2018-11-15 23:53:10,,
"[#worldnews, story, :, crews, search, for, california, fire, victims, ,, #trump, to, visit, #news, #newscommentary, :]",2018-11-15 23:53:05,,
"[i, can't, help, think, of, all, of, the, people, who've, just, lost, everything, ,, who, are, sleeping, in, tents, or, cots, ,, in, the, parking, lots, of, evac, shelters, ., this, x's, something, i, don't, know, how, to, calculate, ., #campfire, #airquality]",2018-11-15 23:53:04,,
"[even, in, donating, ,, there's, a, right, way, and, a, wrong, way, ., the, most, useful, donations, for, victims, of, the, california, wildfires, #campfire]",2018-11-15 23:52:57,,
"[this, is, how, downtown, sac, looks, right, now, ., #campfire, hope, everyone, is, staying, safe, [, person, with, folded, hands, ], [, emoji, modifier, fitzpatrick, type, -, 4, ]]",2018-11-15 23:52:54,,
"[twitterverse, ,, [, fire, ], emoji, here, with, a, reminder, that, the, real, [, fire, ], is, still, burning, in, #campfire, ., let's, turn, every, [, fire, ], emoji, use, into, a, donation, to, the, firefighters, risking, their, lives, ., donate, here, #fightfirewithfire]",2018-11-15 23:52:54,1.0,
"[another, way, to, help, out, the, victims, of, ca, #campfire, .]",2018-11-15 23:52:51,,
"[please, support, my, gofundme, campaign, :]",2018-11-15 23:52:49,,
"[are, you, a, restaurant, ,, bar, or, food, business, that's, offering, some, kind, of, deal, ,, product, or, benefit, to, help, victims, of, the, #woolseyfire, ?, please, let, me, know, !, i'm, compiling, a, list, .]",2018-11-15 23:52:45,,
"[the, smoke, is, so, bad, in, sacramento, ,, 90, minutes, south, of, paradise, ,, you, can't, even, see, the, tower, bridge, or, downtown, ., #campfire, #prayforrain, [, cloud, with, rain, ], [, person, with, folded, hands, ]]",2018-11-15 23:52:38,1.0,
"[it, seems, i, can't, go, near, anything, regarding, the, camp, fire, without, getting, upset, and, emotional, ., time, to, unplug, net, for, a, bit, ., go, outside, ., the, story, keeps, getting, worse, and, worse, ...]",2018-11-15 23:52:38,,
"[here, is, the, [, ?, ], [, ?, ], ,, the, newspaper, we, can't, deliver, ,, so, we, are, dropping, bundles, off, at, evacuation, centers, ., #campfire]",2018-11-15 23:52:37,,
"[toxic, sf, air, quality, gets, worse, [, updated, ], -, curbed, sf]",2018-11-15 23:52:37,,
"[california's, state, capitol, and, the, afternoon, sun, ,, choked, in, #campfire, smoke, ., sacramento's, fashion, accessory, has, become, a, mask, .]",2018-11-15 23:52:35,,
"[not, looking, good, outside, ,, fam, #campfire, #bayarea]",2018-11-15 23:52:34,,
"[crews, search, for, california, fire, victims, as, list, of, missing, grows]",2018-11-15 23:52:33,,
"[climate, change, with, catastrophic, results, ,, an, interesting, but, terrifying, read, .]",2018-11-15 23:52:24,,
"[thousands, of, animals, need, emergency, care, after, the, #campfire, devastated, butte, county, ,, ca, ., i'm, helping, raise, the, funds, needed, to, rescue, animals, and, provide, aid, to, communities, recovering, from, disaster, ., will, you, join, us, ?]",2018-11-15 23:52:19,,
"[the, same, company, erin, brockovich, took, down, ., pg, &, amp, ;, e, plunges, again, on, camp, fire, legal, fears]",2018-11-15 23:52:18,,
"[welcome, to, walmart, ,, now, a, shelter, for, california, fire, evacuees, via]",2018-11-15 23:52:12,,
"[new, satellite, view, of, camp, fire, as, it, burned, through, paradise]",2018-11-15 23:52:06,,
"[via, crews, search, for, california, fire, victims, as, list, of, missing, grows]",2018-11-15 23:52:05,,
"[crews, search, for, california, fire, victims, as, list, of, missing, grows, :, the, search, for, victims, of, a, catastrophic, blaze, that, reduced, a, northern, california, town, to, ashes, intensified, on, thursday, as, authorities, ..., #impeachtrump, #impeachkavanaugh, #theresistance]",2018-11-15 23:52:05,,
"[[, person, with, folded, hands, ], [, person, raising, both, hands, in, celebration, ], [, clapping, hands, sign, ], thanks, to, all, of, you, praying, for, #animals, #campfire, ...., in, all, the, bad, ,, so, much, good, .., prayers, helping, ., paradise, ,, northern, ca]",2018-11-15 23:52:00,1.0,
"[this, also, applies, to, residents, impacted, by, #campfire, in, the, county, of, #butte, including, :, #chico, #paradise, #magalia, #durham, #oroville]",2018-11-15 23:51:55,,
"[the, #campfire, and, #woosley, fire, has, now, burned, almost, 300,000, acres, and, destroyed, 10,756, structures, in, total, combined, ., #fires, #firesafety]",2018-11-15 23:51:54,,
"[#oakland, aqi, 246, -, very, unhealthy, ., #campfire]",2018-11-15 23:51:37,,
"[info, from, an, appraiser, :, if, you've, had, your, home, appraised, in, the, last, 5, years, ,, go, back, to, the, place, you, got, it, done, &, amp, ;, ask, for, a, copy, ., they, are, required, to, keep, that, for, 5, years, ,, &, amp, ;, more, than, likely, they, took, photos, ., this, could, help, in, the, insurance, process, ., #campfire, #buttecounty]",2018-11-15 23:51:16,,
"[crews, search, for, california, fire, victims, as, list, of, missing, grows]",2018-11-15 23:51:16,,
"[here's, another, way, to, help, fellow, educators, affected, by, the, camp, fire, .]",2018-11-15 23:51:08,,
"[i've, been, coughing, all, day, from, the, camp, fire, smoke, :/]",2018-11-15 23:51:07,,
"[landing, in, san, jose, ,, the, anthropologist, in, me, can't, help, but, feeling, that, i'm, landing, in, the, context, of, decades, of, environmental, policy, (, or, lack, thereof, ), ., #campfire, #amanth2018, #anthofpolicy]",2018-11-15 23:50:53,,
"[i've, just, posted, a, new, blog, :, crews, search, for, california, fire, victims, ,, trump, to, visit]",2018-11-15 23:50:53,,
"[crews, search, for, california, fire, victims, as, list, of, missing, grows]",2018-11-15 23:50:46,,
"[click, here, to, support, camp, fire, all, kids, are, our, kids, organized, by, liz, garden, via]",2018-11-15 23:50:36,,
"[no, relief, from, ', very, unhealthy, ', air, in, san, francisco, after, camp, fire--and, it's, getting, worse]",2018-11-15 23:50:31,,
"[crews, search, for, california, fire, victims, as, list, of, missing, grows]",2018-11-15 23:50:18,,
"[no, ,, that's, not, the, moon, ., be, sure, ya'll, have, your, n95s, on, ., #campfire, @, chico, ,, california, events]",2018-11-15 23:50:17,,
"[photos, :, pets, ,, owners, reunited, following, deadly, and, destructive, camp, fire, :, the, camp, fire, ,, the, most, deadly, and, destructive, wildfire, in, california, history, ,, has, destroyed, hundreds, of, homes, ,, put, hundreds, of, lives, ..., #impeachtrump, #impeachkavanaugh, #theresistance]",2018-11-15 23:50:12,,
"[., distributing, particulate, respirator, masks, for, smoke, from, #campfire]",2018-11-15 23:50:04,,
"[toxic, sf, air, quality, gets, worse]",2018-11-15 23:50:03,,
"[at, least, 130, people, are, unaccounted, for, after, wildfire, .]",2018-11-15 23:50:00,,
"[i, can, see, it's, still, hella, smoky, down, there, because, of, the, camp, fire]",2018-11-15 23:49:58,,
"[i, can't, see, the, sky, ,, the, smoke, from, the, camp, fire, is, in, the, way, .]",2018-11-15 23:49:56,,
"[#campfire, when, will, residents, of, forest, ranch, be, able, to, go, home, ?, _butteco, cat, is, still, inside, house, .]",2018-11-15 23:49:53,,
"[hard, to, wrap, my, head, around, these, stats, ..., &, amp, ;, it's, not, over, yet, ., #campfire]",2018-11-15 23:49:52,,
"[thousands, of, animals, need, emergency, care, after, the, #campfire, devastated, butte, county, ,, ca, ., i'm, helping, raise, the, funds, needed, to, rescue, animals, and, provide, aid, to, communities, recovering, from, disaster, ., will, you, join, us, ?]",2018-11-15 23:49:51,,
"[let's, do, this, guys, !, #campfire, #woolseyfire, #thisisacrisis]",2018-11-15 23:49:36,,
"[come, to, big, spoon, yogurt, @, the, #fountains, today, ,, we're, donating, 20, %, all, day, to, #redcross, to, help, camp, fire, victims, ., 11am, -, 10pm]",2018-11-15 23:49:34,,
"[_mcafee, yeah, ,, the, one, up, here, ,, the, camp, fire, has, our, town, black, with, smoke, !, my, parent, live, in, magalia, but, are, here, safe, with, me, .]",2018-11-15 23:49:33,,
"[so, tired, of, this, ..., #globalwarmingisrealyoudumbfucks, #campfire, #smokeyskiesfordays, #icantbreathe, @, alameda, ,, california]",2018-11-15 23:49:30,,
"[toxic, sf, air, quality, gets, worse, [, updated, ], -, curbed, sf]",2018-11-15 23:49:29,,
"[want, a, small, yet, meaningful, way, to, make, a, difference, in, the, wake, of, the, #campfire, in, california, ?, donate, to, to, help, populations, currently, breathing, in, toxic, air, .]",2018-11-15 23:49:27,,
"[crews, search, for, california, fire, victims, as, list, of, missing, grows]",2018-11-15 23:49:24,,
"[we, appreciate, all, of, the, generosity, our, community, is, offering, to, victims, of, the, #woolseyfire, #hillfire, ., please, consider, donating, to, the, foundation, to, support, those, who, lost, their, homes, .]",2018-11-15 23:49:24,,
"[95, percent, of, our, ward, members, lost, their, homes, :, an, update, on, church, members, in, paradise, ,, ca, |, lds, living]",2018-11-15 23:49:23,,
"[camp, fire, made, us, homeless, ., paradise, fire]",2018-11-15 23:49:16,,
"[poor, land, management, is, leading, to, bigger, california, fires, -, -, the, western, journalanother, year, ,, another, set, of, deadly, fires, burning, up, california, ., the, devastation, is, heartbreaking, ., the, camp, fire, has, almost, completely, obliterated, the, northern, cali, ...]",2018-11-15 23:49:12,,
"[crews, search, for, california, fire, victims, as, list, of, missing, grows]",2018-11-15 23:49:07,,
"[this, is, one, of, the, charities, i've, already, given, to, ., #chefsforcalifornia, feeding, the, firefighters, and, rescue, teams, ., #campfire]",2018-11-15 23:49:00,,
"[on, our, way, home, ., 1st, photo, :, lake, tahoe, ,, nv, ., 2nd, :, folsom, ,, ca, ., 3rd, :, sacramento, ,, ca, ., #campfire]",2018-11-15 23:48:57,,
"[normal, day, vs, smoke, filled, day, ..., and, we, are, 160, miles, away, from, where, the, fire, is, ..., #campfire, #eastbay, #dontgooutside]",2018-11-15 23:48:49,,
